Model,Price
"1010 E350 4Matic",3500
"1959 300d",4000
"1960 300d",4000
"1963 220S",3000
"1963 300SE/C",3000
"1964 220SE",3000
"1964 230SL",3000
"1965 220S",3000
"1965 220SE",3000
"1965 230SL",3000
"1965 300SE/C",3000
"1966 230",3000
"1966 230SL",3000
"1966 250SE",3000
"1966 300SE",3000
"1967 230",3000
"1967 250S",3000
"1967 250SE/C",3000
"1967 250SL",3000
"1968 280S",3000
"1968 280SE",3000
"1968 280SL",3000
"1968 300SEL 6",4000
"1969 230",2750
"1969 280SE",3000
"1969 280SE/C",3000
"1969 280SL",3000
"1969 300SEL",3000
"1969 300SEL 6",4000
"1970 250",2750
"1970 250C",2750
"1970 280S",2750
"1970 280SE",2750
"1970 280SL",3000
"1971 250",2750
"1971 250C",2750
"1971 280SE",2750
"1971 280SE 3.5",3000
"1971 280SL",3000
"1971 300SEL 6.3",4000
"1971 600",4000
"1972 250",2750
"1972 250C",2750
"1972 280SE4.5",3000
"1972 300SEL 4.5",3000
"1972 350SL",3000
"1973 280",2750
"1973 280C",2750
"1973 350SL",3000
"1973 450SE",3000
"1973 450SEL",3000
"1973 450SL",3000
"1974 280",2750
"1974 280C",2750
"1974 450SEL",3000
"1974 450SL",3000
"1974 450SLC",3000
"1975 240D",2750
"1975 280",2750
"1975 300D",2750
"1975 450SL",3000
"1976 280S",2750
"1976 300D",2750
"1976 450SL",3000
"1976 450SLC",3000
"1977 230",2750
"1977 240D",2750
"1977 280SE",2750
"1977 300D",2750
"1977 450SL",3000
"1978 240D",2750
"1978 280E",2750
"1978 300D",2750
"1978 300SD",2750
"1978 450SEL",3000
"1978 450SL",3000
"1979 240D",2750
"1979 300D",2750
"1979 300SD",2750
"1979 300TD",2750
"1979 450SL",3000
"1979 450SLC",3000
"1980 240D",2750
"1980 280CE",2750
"1980 300CD",2750
"1980 300D",2750
"1980 300SD",2750
"1980 450SL",3000
"1981 240D",2750
"1981 280SE",2750
"1981 300D",2750
"1981 300SD",2750
"1981 300TD",2750
"1981 380SL",2750
"1981 500SL",2750
"1981 Porsche 928",3000
"1982 240D",2750
"1982 280SE",2750
"1982 300CD",2750
"1982 300D",2750
